dataset,fold,n_train,n_test,discretizer,bins,method,score,max_iter,num_edges,train_time_s,param_time_s,total_train_time_s,infer_time_s,bal_acc,f1,auc,brier,kl,ecl
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,60.007891,0.145882,60.153773,0.022415,0.8295238095238096,0.8309178743961353,0.8954761904761904,0.12653577314484718,40.05601904067686,0.046149585954399136
heart.csv,2,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,20,5.113471,0.147682,5.261153,0.018252,0.819047619047619,0.8262910798122066,0.9191428571428572,0.12016124916284522,33.80211284228322,0.05361182581975348
heart.csv,3,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,4.15153,0.087007,4.238537,0.017619,0.8047619047619048,0.8095238095238095,0.9022857142857142,0.12637985522113193,34.77922276524983,0.049979007207765276
heart.csv,4,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,21,2.439134,0.084613,2.523747,0.018235,0.8383333333333334,0.8465116279069768,0.911047619047619,0.11592262179465104,32.2512348178759,0.05293039959073401
heart.csv,5,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.153592,0.080834,2.234426,0.016287,0.852820659424433,0.8611111111111112,0.9176195921478941,0.11707731699925485,33.24770429195158,0.06699591433485183
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,11.177159,0.077469,11.254628,0.016718,0.8385714285714285,0.8450704225352113,0.9025714285714285,0.11974921065094528,38.04199875546372,0.04649457119590668
heart.csv,2,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,20,3.348672,0.07979,3.428462,0.016035,0.8247619047619048,0.8252427184466019,0.9240476190476191,0.11295353886262481,37.853277133982786,0.0765319590129577
heart.csv,3,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.653404,0.066166,2.719571,0.015276,0.8326190476190476,0.8468468468468469,0.9249047619047619,0.11094488318317237,32.442532812760845,0.06180235068989414
heart.csv,4,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.156677,0.075176,2.231853,0.016159,0.8478571428571429,0.8571428571428571,0.9037142857142857,0.11890901633003402,33.2768829385455,0.06849195962391591
heart.csv,5,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.390509,0.135774,2.526283,0.016751,0.852820659424433,0.8611111111111112,0.9176195921478941,0.11707731699925485,33.24770429195158,0.06699591433485183
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,24,5311.613983,2.515575,5314.129558,0.018798,0.7661904761904762,0.7669902912621359,0.8616190476190476,0.1512586239502505,48.60668606383773,0.06302057772931624
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,4.978576,0.083727,5.062302,0.01697,0.829047619047619,0.8341232227488151,0.8928095238095238,0.12230731646524014,38.577343987275285,0.07903665242361448
